pmid,title,authors,journal,pubdate,doi,abstract,has_epigenetic_content
Mock17,Epigenetic Study on Cancer Prevention 17,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2023-04-10,10.1000/mock.17,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 379 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock18,Epigenetic Study on Cancer Prevention 18,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2013-05-09,10.1000/mock.18,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 448 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock19,Epigenetic Study on Cancer Prevention 19,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2021-07-11,10.1000/mock.19,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 287 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock20,Epigenetic Study on Cancer Prevention 20,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2024-10-21,10.1000/mock.20,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 73 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock21,Epigenetic Study on Cancer Prevention 21,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2020-08-02,10.1000/mock.21,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 297 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock22,Epigenetic Study on Cancer Prevention 22,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2011-07-22,10.1000/mock.22,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 445 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock23,Epigenetic Study on Cancer Prevention 23,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2023-08-07,10.1000/mock.23,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 161 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock24,Epigenetic Study on Cancer Prevention 24,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2010-07-25,10.1000/mock.24,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 471 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock25,Epigenetic Study on Cancer Prevention 25,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2024-09-05,10.1000/mock.25,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 375 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock26,Epigenetic Study on Cancer Prevention 26,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2011-11-10,10.1000/mock.26,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 436 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock27,Epigenetic Study on Cancer Prevention 27,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2010-02-21,10.1000/mock.27,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 166 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock28,Epigenetic Study on Cancer Prevention 28,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2019-10-28,10.1000/mock.28,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 372 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock29,Epigenetic Study on Cancer Prevention 29,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2010-10-18,10.1000/mock.29,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 418 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock30,Epigenetic Study on Cancer Prevention 30,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2017-12-26,10.1000/mock.30,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 302 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock31,Epigenetic Study on Cancer Prevention 31,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2022-12-01,10.1000/mock.31,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 303 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock32,Epigenetic Study on Cancer Prevention 32,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2020-07-05,10.1000/mock.32,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 420 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock33,Epigenetic Study on Cancer Prevention 33,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2012-02-04,10.1000/mock.33,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 86 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock34,Epigenetic Study on Cancer Prevention 34,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2020-05-25,10.1000/mock.34,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 58 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock35,Epigenetic Study on Cancer Prevention 35,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2020-07-10,10.1000/mock.35,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 412 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock36,Epigenetic Study on Cancer Prevention 36,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2015-08-09,10.1000/mock.36,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 212 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock37,Epigenetic Study on Cancer Prevention 37,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2018-02-27,10.1000/mock.37,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 261 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock38,Epigenetic Study on Cancer Prevention 38,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2019-10-14,10.1000/mock.38,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 172 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock39,Epigenetic Study on Cancer Prevention 39,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2010-01-24,10.1000/mock.39,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 419 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock40,Epigenetic Study on Cancer Prevention 40,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2014-04-27,10.1000/mock.40,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 343 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock41,Epigenetic Study on Cancer Prevention 41,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2010-07-19,10.1000/mock.41,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 267 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock42,Epigenetic Study on Cancer Prevention 42,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2017-10-02,10.1000/mock.42,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 285 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock43,Epigenetic Study on Cancer Prevention 43,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2019-03-24,10.1000/mock.43,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 401 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock44,Epigenetic Study on Cancer Prevention 44,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2012-04-30,10.1000/mock.44,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 178 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock45,Epigenetic Study on Cancer Prevention 45,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2020-02-17,10.1000/mock.45,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 262 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock46,Epigenetic Study on Cancer Prevention 46,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2021-12-22,10.1000/mock.46,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 198 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock47,Epigenetic Study on Cancer Prevention 47,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2010-11-15,10.1000/mock.47,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 333 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock48,Epigenetic Study on Cancer Prevention 48,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2014-01-25,10.1000/mock.48,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 438 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock49,Epigenetic Study on Cancer Prevention 49,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2018-02-01,10.1000/mock.49,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 101 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
Mock50,Epigenetic Study on Cancer Prevention 50,"Smith J, Johnson A, Williams B",Journal of Epigenetics,2014-02-23,10.1000/mock.50,This study examines epigenetic modifications in cancer prevention. DNA methylation was assessed in 305 participants. Results show significant epigenetic changes associated with cancer risk.,TRUE
