authors,year,exposure_type,epigenetic_marker,epigenetic_effect_size,population_size,country,pmid
Ma Z; Zhu J; Chen M; Wu G; Liu X; Hu Z; Feng Y; Wang X; Liu F,2025,nutritional,DNA methylation,0.3,200,Unspecified,40052233
Jiang R; Gao MZ; Chen M; Weatherspoon DJ; Watts TL; Osazuwa-Peters N,2025,behavioural,DNA methylation,0.8,511,Unspecified,40048195
Rodríguez-Lloveras H; Zafon C; Iglesias C; Marcos-Ruiz J; Gil J; Rueda-Pujol A; González L; Mayor R; Klein Hesselink EN; van Hemel BM; Carrato C; Perelló-Fabregat C; Hernández-Losa J; Somoza R; Pluvinet R; Sánchez-Herrero JF; Sumoy L; Seoane J; Riesco-Eizaguirre G; Montero-Conde C; Robledo M; Hernando J; Capdevila J; Reverter JL; Puig-Domingo M; Links TP; Jordà M,2025,nutritional,DNA methylation,0.14,200,Unspecified,40045915
Fadhil R; Good D; Wei MQ,2025,nutritional,DNA methylation,0.1,200,Unspecified,40022700
Tao B; Wang Z; Wang X; Song A; Liu J; Wang J; Zhang Q; Chen Z; Wang Z; Xu W; Sun M; Wang Y; Zhang P; Xu T; Wei GH; Chen FX; Wang M,2025,nutritional,Other epigenetic marker,0.3,117,Unspecified,39998882
Lorenzo PM; Izquierdo AG; Sajoux I; Nuñez-Garcia M; Gomez-Arbelaez D; Zulet MA; Abete I; Baltar J; de Luis D; Tinahones FJ; Martinez JA; Casanueva FF; Crujeiras AB,2025,nutritional,DNA methylation,0.3,20,Unspecified,39986176
Li J; Liu X; Tran TT; Lee M; Tsai RYL,2025,nutritional,DNA methylation,0.3,200,Unspecified,39982030
Khulan B; Ye K; Shi MK; Waldman S; Marsh A; Siddiqui T; Okorozo A; Desai A; Patel D; Dobkin J; Sadoughi A; Shah C; Gera S; Peter Y; Liao W; Vijg J; Spivack SD,2025,behavioural,DNA methylation,0.96,200,Unspecified,39980243
Mirra D; Esposito R; Spaziano G; Rafaniello C; Panico F; Squillante A; Falciani M; Abrego-Guandique DM; Caiazzo E; Gallelli L; Cione E; D'Agostino B,2025,nutritional,miRNA,0.3,200,Unspecified,39941045
Brane A; Sutko M; Tollefsbol TO,2025,nutritional,DNA methylation,0.25,200,Unspecified,39940977
Laun SE; Kann L; Braun J; Pierre F; Kim S; Gilbert S; Lunz D; Kalra A; Ma K; Cheng Y; Leggett CL; Zaidi AH; Omstead AN; Korman L; Jobe B; Perpetua L; Greenwald BD; Maddala T; Meltzer SJ,2025,nutritional,DNA methylation,0.81,11,Unspecified,39933887
Sun C; Liu S; Lau JW; Yang H; Chen Y; Xing B,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,39932237
Freitas-Cortez MA; Masrorpour F; Jiang H; Mahmud I; Lu Y; Huang A; Duong LK; Wang Q; Voss TA; Kettlun Leyton CS; Wei B; Chan WK; Lin K; Zhang J; Tsouko E; Ganjoo S; Barsoumian HB; Riad TS; Hu Y; Leuschner C; Puebla-Osorio N; Wang J; Hu J; Davies MA; Puduvalli VK; Billon C; Burris TP; Lorenzi PL; Gan B; Welsh JW,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,39901247
Ulhe A; Raina P; Chaudhary A; Kaul-Ghanekar R,2025,nutritional,DNA methylation,0.3,200,Unspecified,39895102
Gujaran TV; Easwaran VB; Sankhe R; Bakthavatchalam P; Dsouza HS; Pai KSR,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,39866236
Fu J; Ni Y; Hu Y; Tang W; Fu J; Wang Y; Yu S; Xu W,2025,nutritional,Histone modification,0.3,200,Unspecified,39835657
Badameh P; Akhlaghi Tabar F; Mohammadipoor N; Rezaei R; Ranjkesh R; Maleki MH; Vakili O; Shafiee SM,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,39833322
Arlen MT; Patterson SJ; Page MK; Liu R; Caruana V; Wilson ET; Laporte SA; Goniewicz ML; Harris CS; Eidelman DH; Baglole CJ,2025,behavioural,DNA hydroxymethylation,0.3,200,Unspecified,39823205
Tse AY; Spakowitz AJ,2025,behavioural,DNA methylation,0.3,200,Unspecified,39792289
Kadariya Y; Sementino E; Hua X; Kappes DJ; Testa JR,2025,nutritional,Other epigenetic marker,0.1,200,Unspecified,39791266
Nshanian M; Gruber JJ; Geller BS; Chleilat F; Lancaster SM; White SM; Alexandrova L; Camarillo JM; Kelleher NL; Zhao Y; Snyder MP,2025,nutritional,Histone modification,0.3,200,Unspecified,39789354
Devall MA; Eaton S; Hu G; Sun X; Jakum E; Venkatesh S; Powell SM; Yoshida C; Weisenberger DJ; Cooper GS; Willis J; Ebrahim S; Zoellner J; Casey G; Li L,2025,nutritional,DNA methylation,0.5,79,Unspecified,39788295
Modanwal S; Mishra A; Mishra N,2025,behavioural,Other epigenetic marker,0.3,200,Unspecified,39754971
He L; Zhang B; Zhou C; Zhao Q; Wang Y; Fang Y; Hu Z; Lv P; Miao L; Yang R; Yang J,2025,nutritional,DNA methylation,0.3,210,Unspecified,39705824
Zhang Y; Wang Y; Qian H,2024,nutritional,DNA methylation,0.3,200,Unspecified,39669580
Messina G; Natale G; Fiorelli A; Puca MA; Moscatelli F; Monda V; Monda M; Di Domenico M; Corte CMD; Marsala G; Vicario G; Dalia C; Bassi P; Leonardi B; De Maria A; Monda A; Messina G; Messina A; Polito R,2025,nutritional,Other epigenetic marker,0.3,30,Unspecified,39652453
Jung SY; Yu H; Deng Y; Pellegrini M,2024,behavioural,DNA methylation,0.3,200,Unspecified,39642870
Zhuang X; Wang Q; Joost S; Ferrena A; Humphreys DT; Li Z; Blum M; Krause K; Ding S; Landais Y; Zhan Y; Zhao Y; Chaligne R; Lee JH; Carrasco SE; Bhanot UK; Koche RP; Bott MJ; Katajisto P; Soto-Feliciano YM; Pisanic T; Thomas T; Zheng D; Wong ES; Tammela T,2025,nutritional,DNA methylation,0.3,200,Unspecified,39633048
Mohammed Ismail W; Fernandez JA; Binder M; Lasho TL; Kim M; Geyer SM; Mazzone A; Finke CM; Mangaonkar AA; Lee JH; Wang L; Kim KH; Simon VA; Rakhshan Rohakthar F; Munankarmy A; Byeon SK; Schwager SM; Harrington JJ; Snyder MR; Robertson KD; Pandey A; Wieben ED; Chia N; Gaspar-Maia A; Patnaik MM,2025,nutritional,Chromatin remodeling,0.3,200,Unspecified,39631069
Zhao Z; Bhardwaj M; Fan Z; Li X; Schrotz-King P; Brenner H,2025,behavioural,DNA methylation,0.95,736,Unspecified,39624886
Wang B; Zhang Y; Liu J; Deng B; Li Q; Liu H; Sui Y; Wang N; Xiao Q; Liu W; Chen Y; Li Y; Jia H; Yuan Q; Wang C; Pan W; Li F; Yang H; Wang Y; Ding Y; Xu D; Liu R; Fang JY; Wu J,2024,nutritional,DNA methylation,0.0642,1773,Unspecified,39604913
Radák Z; Aczél D; Fejes I; Mozaffaritabar S; Pavlik G; Komka Z; Balogh L; Babszki Z; Babszki G; Koltai E; McGreevy KM; Gordevicius J; Horvath S; Kerepesi C,2025,nutritional,DNA methylation,0.3,200,Unspecified,39601999
Libera L; Vanoli A; Sahnane N; Adnan M; Guerini C; Arpa G; Bianchi PI; Lenti MV; Corazza GR; La Rosa S; Di Sabatino A; Furlan D,2025,nutritional,DNA methylation,0.3,200,Unspecified,39601242
Casanova-Martín C; Liviu Boaru D; Fraile-Martinez O; Garcia-Montero C; De Leon-Oliva D; De Castro-Martinez P; Gimeno-Longas MJ; Bujan J; García-Honduvilla N; Guijarro LG; Gragera R; Lopez-Gonzalez L; Saez MA; Ferrara-Coppola C; Baena-Romero V; Diaz-Pedrero R; Alvarez-Mon M; Toledo-Lobo MV; Ortega MA,2025,behavioural,Other epigenetic marker,0.8,200,Unspecified,39600260
Cortez Cardoso Penha R; Sexton Oates A; Senkin S; Park HA; Atkins J; Holcatova I; Hornakova A; Savic S; Ognjanovic S; Świątkowska B; Lissowska J; Zaridze D; Mukeria A; Janout V; Chabrier A; Cahais V; Cuenin C; Scelo G; Foll M; Herceg Z; Brennan P; Smith-Byrne K; Alcala N; Mckay JD,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,39592856
Thacher JD; Snigireva A; Dauter UM; Delaval MN; Oudin A; Mattisson K; Sørensen M; Borgquist S; Albin M; Broberg K,2024,nutritional,DNA methylation,0.95,29,Unspecified,39587706
Spanoudaki M; Itziou A; Cheimaras A; Tsiripidis O; Risvas G; Tsitlakidou N; Balis V,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,39584911
Feng Y; Kang H; Sood A; Guest DD; Fung TT; Rowe CL; Picchi MA; Pankratz VS; Belinsky SA; Leng S,2025,nutritional,DNA methylation,0.0183,200,Unspecified,39571724
Bode HF; He L; Hjelmborg JVB; Kaprio J; Ollikainen M,2024,behavioural,DNA methylation,0.3,200,Unspecified,39558433
Zhao J; Sun YW; Chen KM; Aliaga C; Bisanz JE; El-Bayoumy K,2025,nutritional,Other epigenetic marker,0.3,200,Unspecified,39502024
García-Martínez JM; Chocarro-Calvo A; Martínez-Useros J; Regueira-Acebedo N; Fernández-Aceñero MJ; Muñoz A; Larriba MJ; García-Jiménez C,2024,nutritional,Histone modification,0.3,200,Unspecified,39494323
Ganesan S; Awan-Toor S; Guidez F; Maslah N; Rahimy R; Aoun C; Gou P; Guiguen C; Soret J; Ravdan O; Bisio V; Dulphy N; Lobry C; Schlageter MH; Souyri M; Giraudier S; Kiladjian JJ; Chomienne C; Cassinat B,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,39470742
Wang Y; Zhao Y; Zhang G; Lin Y; Fan C; Wei H; Chen S; Guan L; Liu K; Yu S; Fu L; Zhang J; Yuan Y; He J; Cai H,2024,nutritional,DNA methylation,0.67,200,Unspecified,39406840
Garma LD; Quintela-Fandino M,2024,behavioural,DNA methylation,0.3,200,Unspecified,39375688
Li Y; Xie T; Wang S; Yang L; Hao X; Wang Y; Hu X; Wang L; Li J; Ying J; Xing P,2024,nutritional,Other epigenetic marker,0.14,200,Unspecified,39353908
Liang W; Tao J; Cheng C; Sun H; Ye Z; Wu S; Guo Y; Zhang J; Chen Q; Liu D; Liu L; Tian H; Teng L; Zhong N; Fan JB; He J,2024,nutritional,DNA methylation,0.3,200,Unspecified,39341207
Zou R; Lu J; Bai X; Yang Y; Zhang S; Wu S; Tang Z; Li K; Hua X,2024,nutritional,DNA methylation,0.3,200,Unspecified,39340995
Gulei D; Moisoiu V; Kegyes D; Drula R; Iluta S; Tigu AB; Nistor M; Jitaru C; Bancos A; Rotariu P; Popovici C; Dima D; Tomai R; Rus I; Constantinescu C; Munteanu R; Cenariu D; Sezerman U; Zdrenghea M; Cermak J; Einsele H; Ghiaur G; Tomuleasa C,2024,nutritional,DNA methylation,0.3,200,Unspecified,39334509
Chang CW; Chin YH; Liu MS; Shen YC; Yan SJ,2024,nutritional,Chromatin remodeling,0.3,200,Unspecified,39261338
Aparecida Dos Santos France F; Maeda DK; Rodrigues AB; Ono M; Lopes Nogueira Marchetti F; Marchetti MM; Faustino Martins AC; Gomes RDS; Rainho CA,2024,nutritional,Histone modification,0.3,200,Unspecified,39255363
Moulton C; Grazioli E; Ibáñez-Cabellos JS; Murri A; Cerulli C; Silvestri M; Caporossi D; Pallardó FV; García-Giménez JL; Magno S; Rossi C; Duranti G; Mena-Molla S; Parisi A; Dimauro I,2024,behavioural,DNA methylation,0.3,200,Unspecified,39201283
Scirgolea C; Sottile R; De Luca M; Susana A; Carnevale S; Puccio S; Ferrari V; Lise V; Contarini G; Scarpa A; Scamardella E; Feno S; Camisaschi C; De Simone G; Basso G; Giuliano D; Mazza EMC; Gattinoni L; Roychoudhuri R; Voulaz E; Di Mitri D; Simonelli M; Losurdo A; Pozzi D; Tsui C; Kallies A; Timo S; Martano G; Barberis E; Manfredi M; Rescigno M; Jaillon S; Lugli E,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,39198631
Chen W; Ma C; Wang M; Huang X; Chen X; Xu Z; Huang W; Wang R; Zheng Z; Fang J; Shen Y; Zhao D; Zhang H,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,39190976
Li S; Guo Y; Yi L; Chen Y,2024,nutritional,Histone modification,0.3,200,Unspecified,39142553
Laun SE; Kann L; Braun J; Gilbert S; Lunz D; Pierre F; Kalra A; Ma K; Tsai HL; Wang H; Jit S; Cheng Y; Ahmed Y; Wang KK; Leggett CL; Cellini A; Ioffe OB; Zaidi AH; Omstead AN; Jobe B; Korman L; Cornish D; Zellenrath P; Spaander M; Kuipers E; Perpetua L; Greenwald BD; Maddala T; Meltzer SJ,2024,nutritional,DNA methylation,0.9,240,Unspecified,39140473
Tommasi S; Brocchieri L; Tornaletti S; Besaratinia A,2025,behavioural,DNA methylation,0.3,200,Unspecified,39133188
Mulvaney R; Pan Y; Zhao N; Teles F; Lu J; Platz EA; Kelsey KT; Michaud DS,2024,nutritional,DNA methylation,1.34,200,Unspecified,39093033
Szafron LA; Iwanicka-Nowicka R; Podgorska A; Bonna AM; Sobiczewski P; Kupryjanczyk J; Szafron LM,2024,nutritional,DNA methylation,0.3,200,Unspecified,39062774
Sun Q; Tian Q; Bravo Iniguez A; Sun X; Zhang H; Deavila J; Du M; Zhu MJ,2024,nutritional,DNA methylation,0.3,200,Unspecified,39062614
Murphy CC; Seif El Dahan K; Singal AG; Cirillo PM; Krigbaum NY; Cohn BA,2024,behavioural,Other epigenetic marker,0.15,14,Unspecified,39037384
Aglago EK; Qu C; Harlid S; Phipps AI; Steinfelder RS; Ogino S; Thomas CE; Hsu L; Toland AE; Brenner H; Berndt SI; Buchanan DD; Campbell PT; Cao Y; Chan AT; Drew DA; Figueiredo JC; French AJ; Gallinger S; Georgeson P; Giannakis M; Goode EL; Gruber SB; Gunter MJ; Harrison TA; Hoffmeister M; Huang WY; Hullar MA; Huyghe JR; Jenkins MA; Lynch BM; Moreno V; Murphy N; Newton CC; Nowak JA; Obón-Santacana M; Sun W; Ugai T; Um CY; Zaidi SH; Tsilidis KK; van Guelpen B; Peters U,2024,nutritional,Other epigenetic marker,0.95,200,Unspecified,39025327
Abbas SA; Hamzah IH,2024,nutritional,Other epigenetic marker,0.3,200,Unspecified,39001993
Aloufi A; Aubee J; Vargas KM; Apprey V; Thompson K; Copeland R; Kanaan Y; Ricks-Santi L; Brim H; Abbas M,2024,nutritional,miRNA,0.95,200,Unspecified,38945313
Kawakami S; Ninomiya R; Maeda Y,2024,nutritional,DNA methylation,0.3,200,Unspecified,38928040
Milbourn H; McCartney D; Richmond A; Campbell A; Flaig R; Robertson S; Fawns-Ritchie C; Hayward C; Marioni RE; McIntosh AM; Porteous DJ; Whalley HC; Sudlow C,2024,behavioural,DNA methylation,0.59,22,Unspecified,38908846
Liu Y; Fang S; Lin T; Chen W; Chen Y; Wang Y; Xiao X; Zheng H; Liu L; Zhou J; Jiang Y; Hua Q; Jiang Y,2024,behavioural,circRNA,0.3,200,Unspecified,38908277
Metayer C; Spector LG; Scheurer ME; Jeon S; Scott RJ; Takagi M; Clavel J; Manabe A; Ma X; Hailu EM; Lupo PJ; Urayama KY; Bonaventure A; Kato M; Meirhaeghe A; Chiang CWK; Morimoto LM; Wiemels JL,2024,nutritional,DNA methylation,0.3,200,Unspecified,38904462
Patel D; McElroy JP; Weng DY; Sahar K; Reisinger SA; Freudenheim JL; Wewers MD; Shields PG; Song MA,2024,behavioural,DNA methylation,0.61,200,Unspecified,38902313
Koukourikis P; Papaioannou M; Pervana S; Apostolidis A,2024,nutritional,DNA methylation,0.917,200,Unspecified,38891848
Fernandez-Sanjurjo M; Pinto-Hernandez P; Dávalos A; Díaz-Martínez ÁE; Martín-Hernández R; Castilla-Silgado J; Toyos-Rodríguez C; Whitham M; Amado-Rodríguez L; Muñiz-Albaiceta G; Terrados N; Fernández-García B; Iglesias-Gutiérrez E,2024,nutritional,miRNA,0.3,200,Unspecified,38874986
Li CZ; Haghani A; Yan Q; Lu AT; Zhang J; Fei Z; Ernst J; Yang XW; Gladyshev VN; Robeck TR; Chavez AS; Cook JA; Dunnum JL; Raj K; Seluanov A; Gorbunova V; Horvath S,2024,behavioural,DNA methylation,0.3,200,Unspecified,38848365
Liu Z; Zhang Q; Zhang H; Yi Z; Ma H; Wang X; Wang J; Liu Y; Zheng Y; Fang W; Huang P; Liu X,2024,nutritional,DNA methylation,0.3,18,Unspecified,38840170
Liao YN; Huang PQ; Pan H; Gai YZ; Zhan YF; Li SX; Nie HZ,2024,nutritional,DNA methylation,0.3,200,Unspecified,38805171
